#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
16925011|2017-09-02T00:45:31.660000|35.4878|15.247|10.0|SURVEY-INGV||||ML|3.4|--|Malta [Sea]
16940311|2017-09-03T09:15:46.690000|45.7338|10.6808|3.2|SURVEY-INGV||||ML|3.4|--|3 km W Tignale (BS)
16950241|2017-09-04T06:46:50.590000|38.5097|15.0748|261.6|SURVEY-INGV||||ML|3.4|--|Isole Eolie (Messina)
16955281|2017-09-04T18:54:02.030000|42.5467|13.3303|13.8|SURVEY-INGV||||Mw|3.3|--|4 km W Campotosto (AQ)
16959571|2017-09-05T04:34:21.080000|42.5435|13.3328|13.6|BULLETIN-INGV||||Mw|3.7|--|4 km W Campotosto (AQ)
16970631|2017-09-06T01:52:12.340000|35.4425|15.2455|10.0|SURVEY-INGV||||ML|3.0|--|Malta [Sea]
16975931|2017-09-06T12:22:29.640000|46.2692|11.9812|9.0|SURVEY-INGV||||Mw|3.4|--|2 km W Voltago Agordino (BL)
16976111|2017-09-06T12:30:32.170000|46.2683|11.9897|10.1|SURVEY-INGV||||ML|3.1|--|1 km W Voltago Agordino (BL)
17010081|2017-09-09T18:12:30.700000|44.5965|12.0983|9.9|SURVEY-INGV||||ML|3.0|--|11 km NE Alfonsine (RA)
17024681|2017-09-10T18:00:55.160000|44.8163|9.6873|24.5|BULLETIN-INGV||||ML|3.7|--|4 km W Gropparello (PC)
17025201|2017-09-10T19:58:09.890000|42.0843|13.3242|8.1|BULLETIN-INGV||||Mw|3.7|--|3 km NW Scurcola Marsicana (AQ)
17077681|2017-09-16T10:34:55.600000|46.241|16.6837|10.0|SURVEY-INGV||||ML|3.3|--|Croatia [Land]
17078341|2017-09-16T11:28:15.060000|42.6622|12.6682|6.7|SURVEY-INGV||||ML|3.1|--|10 km SW Spoleto (PG)
17093491|2017-09-18T00:53:47.250000|38.3287|15.4968|129.0|SURVEY-INGV||||ML|3.1|--|Costa Siciliana nord-orientale (Messina)
17095641|2017-09-18T07:21:27.000000|37.73|14.924|5.5|SURVEY-INGV-CT||||ML|3.3|--|10 km SE Bronte (CT)
17100761|2017-09-18T16:47:11.960000|40.0117|20.0378|21.7|SURVEY-INGV||||Mw|3.8|--|Costa Albanese meridionale (ALBANIA)
17120751|2017-09-21T04:28:11.010000|38.2242|15.1065|7.4|SURVEY-INGV||||Mw|3.2|--|Costa Siciliana nord-orientale (Messina)
17145681|2017-09-23T22:30:42.070000|35.4372|12.7372|15.8|SURVEY-INGV||||ML|3.3|--|Lampedusa e Linosa (Agrigento)
17162501|2017-09-26T01:02:41.230000|42.5638|13.3507|8.8|SURVEY-INGV||||ML|3.1|--|2 km W Campotosto (AQ)
17214661|2017-10-02T01:26:57.540000|38.806|14.9833|290.5|BULLETIN-INGV||||ML|3.7|--|Isole Eolie (Messina)
17250541|2017-10-05T18:04:50.600000|37.9512|14.97|27.0|SURVEY-INGV||||ML|3.0|--|4 km N Santa Domenica Vittoria (ME)
17264811|2017-10-07T11:36:55.100000|43.2687|10.8887|8.1|SURVEY-INGV||||ML|3.0|--|4 km SE Pomarance (PI)
17269451|2017-10-07T22:20:23.340000|43.0107|13.0777|9.1|SURVEY-INGV||||ML|3.0|--|3 km SW Fiordimonte (MC)
17275321|2017-10-08T11:48:32.960000|35.4993|15.1668|19.3|SURVEY-INGV||||ML|3.5|--|Malta [Sea]
17331101|2017-10-14T02:02:18.580000|42.8232|13.0767|8.7|SURVEY-INGV||||ML|3.2|--|4 km NW Norcia (PG)
17333391|2017-10-14T07:12:21.850000|39.0017|15.3922|268.6|BULLETIN-INGV||||ML|3.5|--|Tirreno Meridionale (MARE)
17344571|2017-10-15T09:51:48.170000|36.9525|16.4002|36.6|BULLETIN-INGV||||ML|3.5|--|Mar Ionio Meridionale (MARE)
17347791|2017-10-15T16:43:32.620000|42.8277|13.0757|8.4|SURVEY-INGV||||ML|3.2|--|4 km NW Norcia (PG)
17375831|2017-10-18T13:10:55.960000|39.7998|15.6328|280.2|BULLETIN-INGV||||ML|3.7|--|Costa Calabra nord-occidentale (Cosenza)
17382381|2017-10-19T05:34:54.580000|42.8507|13.2333|9.4|SURVEY-INGV||||Mw|3.2|--|8 km SE Castelsantangelo sul Nera (MC)
17400021|2017-10-20T16:16:37.150000|42.8058|13.1292|10.3|SURVEY-INGV||||Mw|3.3|--|3 km E Norcia (PG)
17402491|2017-10-20T20:27:34.540000|42.7078|13.1642|11.1|SURVEY-INGV||||ML|3.0|--|7 km W Accumoli (RI)
17434491|2017-10-23T19:11:34.100000|37.2712|15.6522|20.6|SURVEY-INGV||||ML|3.0|--|Costa Siracusana (Siracusa)
17452811|2017-10-25T03:41:17.800000|45.4242|6.4703|1.4|SURVEY-INGV||||ML|3.2|--|France
17474201|2017-10-26T22:38:35.070000|40.3133|15.7043|14.2|BULLETIN-INGV||||Mw|3.8|--|4 km N Montesano sulla Marcellana (SA)
17475671|2017-10-27T01:09:52.050000|45.4263|6.4623|5.9|SURVEY-INGV||||ML|3.3|--|France
17517241|2017-10-31T04:59:03.780000|45.8395|10.9073|10.8|SURVEY-INGV||||ML|3.1|--|4 km SE Nago-Torbole (TN)
17534111|2017-11-01T23:12:31.280000|40.2823|13.5307|468.4|BULLETIN-INGV||||ML|3.7|--|Tirreno Meridionale (MARE)
17543261|2017-11-02T18:04:14.800000|42.6548|13.1377|8.6|BULLETIN-INGV||||Mw|3.5|--|4 km NW Cittareale (RI)
17553221|2017-11-03T18:15:40.870000|47.1413|11.3663|7.4|BULLETIN-INGV||||ML|3.5|--|Confine Italia-Austria (AUSTRIA)
17556361|2017-11-04T03:22:26.720000|38.4973|15.5707|132.4|SURVEY-INGV||||ML|3.3|--|Tirreno Meridionale (MARE)
17579161|2017-11-06T04:55:53.360000|44.2623|10.7885|10.4|SURVEY-INGV||||ML|3.1|--|4 km NE Sestola (MO)
17584041|2017-11-07T02:40:32.605000|36.1389|28.4656|70.5|SURVEY-INGV-A||||mb|5.1|--|Dodecanese Islands, Greece [Sea: Greece]
17606101|2017-11-10T15:49:05.290000|37.7658|14.6263|27.7|BULLETIN-INGV||||ML|3.5|--|3 km SE Troina (EN)
17620311|2017-11-12T01:34:25.840000|37.1737|15.7727|30.6|SURVEY-INGV||||ML|3.5|--|Mar Ionio Meridionale (MARE)
17644831|2017-11-15T10:40:01.130000|45.2108|14.9873|4.7|SURVEY-INGV||||ML|3.6|--|Costa Croata Settentrionale (CROAZIA)
17657651|2017-11-17T12:10:25.760000|45.4222|6.455|10.0|SURVEY-INGV||||ML|3.1|--|France
17667711|2017-11-19T00:45:20.490000|41.2415|14.8667|28.6|SURVEY-INGV||||ML|3.0|--|1 km SW Pago Veiano (BN)
17670901|2017-11-19T12:10:12.700000|44.6567|10.0477|24.6|SURVEY-INGV||||ML|3.3|--|4 km SE Varano de' Melegari (PR)
17671101|2017-11-19T12:37:44.700000|44.6603|10.0337|22.4|BULLETIN-INGV||||Mw|4.4|--|3 km SE Varano de' Melegari (PR)
17683961|2017-11-21T09:22:02.570000|47.1293|8.5425|10.3|SURVEY-INGV||||ML|3.0|--|Svizzera (SVIZZERA)
17726421|2017-11-27T01:43:07.110000|41.9977|15.9013|5.0|SURVEY-INGV||||ML|3.6|--|Costa Garganica (Foggia)
17738591|2017-11-28T21:40:28.350000|37.1372|18.6762|56.1|SURVEY-INGV||||ML|3.3|--|Mar Ionio Meridionale (MARE)
17769831|2017-12-03T23:34:11.200000|42.6242|13.3252|7.6|BULLETIN-INGV||||Mw|4.0|--|3 km E Amatrice (RI)
17784931|2017-12-06T03:57:21.000000|38.321|14.847|26.2|SURVEY-INGV-CT||||ML|3.3|--|Costa Siciliana nord-orientale (Messina)
17811331|2017-12-08T22:30:29.350000|44.7518|7.7253|42.4|SURVEY-INGV||||ML|3.0|--|4 km SW Caramagna Piemonte (CN)
17845491|2017-12-12T03:22:32.760000|42.4847|15.4295|10.0|SURVEY-INGV||||ML|3.1|--|Adriatico Centrale (MARE)
17850311|2017-12-12T20:11:01.780000|38.1022|14.6772|4.9|SURVEY-INGV||||ML|3.1|--|Costa Siciliana nord-orientale (Messina)
17853591|2017-12-13T11:18:28.950000|36.506|14.694|17.7|BULLETIN-INGV||||ML|3.4|--|Costa Ragusana (Ragusa)
17853841|2017-12-13T11:52:16.920000|36.5063|14.6577|17.6|BULLETIN-INGV||||ML|3.5|--|Costa Ragusana (Ragusa)
17856451|2017-12-14T01:13:45.540000|36.4362|14.6468|15.3|BULLETIN-INGV||||ML|3.8|--|Costa Ragusana (Ragusa)
17856741|2017-12-14T01:59:20.820000|36.5133|14.6427|16.0|BULLETIN-INGV||||ML|3.6|--|Costa Ragusana (Ragusa)
