 14/01/11 11    39.373    41.801    60.702
 14/01/11 12    41.117    43.354    63.222
 14/01/11 13    42.015    44.035    64.501
 14/01/11 14    42.100    44.056    64.793
 14/01/11 15    41.987    43.705    64.328
 14/01/11 16    41.377    43.629    63.678
 14/01/11 17    41.127    43.388    62.841
 14/01/11 18    40.658    42.884    62.329
 14/01/11 19    40.473    42.614    61.706
 14/01/11 20    39.973    42.286    61.573
 14/01/11 21    40.044    42.632    61.448
 14/01/11 22    39.752    42.546    60.780
 14/01/11 23    39.652    42.398    60.819
 15/01/11 00    39.313    42.474    60.691
 15/01/11 01    39.539    42.290    60.664
 15/01/11 02    39.678    42.634    60.603
 15/01/11 03    39.517    42.444    60.790
 15/01/11 04    39.633    42.561    60.784
 15/01/11 05    39.645    42.644    60.783
 15/01/11 06    39.814    43.119    61.187
 15/01/11 07    39.902    42.842    61.255
 15/01/11 08    39.890    43.255    61.406
 15/01/11 09    39.907    42.724    61.490
 15/01/11 10    39.865    43.105    61.593
 15/01/11 11    39.842    43.062    61.277
 15/01/11 12    39.989    42.879    61.254
 15/01/11 13    39.554    42.810    61.149
 15/01/11 14    39.519    42.335    60.876
 15/01/11 15    39.455    42.449    60.580
 15/01/11 16    39.467    42.475    60.693
 15/01/11 17    39.328    42.525    60.713
 15/01/11 18    39.369    42.385    60.960
 15/01/11 19    39.294    42.245    60.529
 15/01/11 20    39.733    42.290    60.547
 15/01/11 21    39.457    42.556    60.475
 15/01/11 22    39.390    42.149    60.731
 15/01/11 23    39.372    41.780    60.707
 16/01/11 00    39.657    42.253    60.900
 16/01/11 01    39.623    42.330    60.915
 16/01/11 02    39.540    42.279    60.671
 16/01/11 03    39.533    42.626    61.151
 16/01/11 04    39.429    42.592    60.953
 16/01/11 05    39.707    42.157    60.738
 16/01/11 06    39.556    42.574    60.908
 16/01/11 07    39.551    42.219    60.494
 16/01/11 08    39.563    42.074    60.724
 16/01/11 09    39.611    42.158    60.618
 16/01/11 10    39.321    42.020    60.659
 16/01/11 11    39.786    42.514    60.898
 16/01/11 12    39.440    42.591    60.729
 16/01/11 13    39.471    42.249    60.498
 16/01/11 14    39.313    42.512    60.713
 16/01/11 15    39.456    42.288    61.139
 16/01/11 16    39.348    42.794    61.003
 16/01/11 17    39.444    42.345    61.076
 16/01/11 18    39.309    42.222    60.592
 16/01/11 19    39.401    42.636    60.527
 16/01/11 20    39.643    42.440    60.840
 16/01/11 21    39.961    42.555    60.651
 16/01/11 22    40.222    42.976    61.249
 16/01/11 23    40.237    42.738    61.111
 17/01/11 00    40.366    43.138    61.602
 17/01/11 01    40.153    43.024    61.257
 17/01/11 02    39.971    42.762    60.460
 17/01/11 03    39.621    42.812    60.837
 17/01/11 04    39.670    42.589    60.576
 17/01/11 05    39.472    42.553    60.569
 17/01/11 06    39.593    42.588    60.350
 17/01/11 07    39.671    42.568    60.426
 17/01/11 08    39.447    42.721    60.776
 17/01/11 09    39.213    42.388    60.234
 17/01/11 10    39.570    42.261    60.344
 17/01/11 11    39.441    42.371    60.822
 17/01/11 12    39.502    42.564    60.325
 17/01/11 13    39.410    42.204    60.777
 17/01/11 14    39.532    42.647    60.536
 17/01/11 15    39.567    42.234    60.664
 17/01/11 16    39.731    42.724    60.921
 17/01/11 17    40.038    42.981    61.314
 17/01/11 18    40.124    43.037    61.301
 17/01/11 19    40.211    43.273    61.754
 17/01/11 20    40.400    43.310    61.826
 17/01/11 21    39.667    43.084    61.277
 17/01/11 22    39.743    43.306    61.005
 17/01/11 23    39.578    43.003    61.047
 18/01/11 00    39.421    42.886    60.582
 18/01/11 01    39.374    42.426    60.640
 18/01/11 02    39.506    42.394    60.730
 18/01/11 03    39.175    42.764    60.861
 18/01/11 04    39.239    42.547    60.695
 18/01/11 05    39.284    42.481    60.934
 18/01/11 06    39.417    42.326    60.624
 18/01/11 07    39.321    42.253    60.756
 18/01/11 08    39.192    42.005    60.652
 18/01/11 09    39.542    42.278    60.510
 18/01/11 10    39.818    42.883    62.019
 18/01/11 11    40.720    43.627    62.834
 18/01/11 12    40.561    43.436    61.914
 18/01/11 13    40.022    42.664    61.747
 18/01/11 14    39.640    42.741    61.574
 18/01/11 15    39.897    42.977    61.840
 18/01/11 16    40.075    43.825    62.293
 18/01/11 17    40.536    43.535    62.765
 18/01/11 18    40.446    43.843    62.548
 18/01/11 19    40.252    43.461    62.436
 18/01/11 20    39.946    43.231    61.672
 18/01/11 21    39.755    43.086    61.676
 18/01/11 22    39.597    43.346    61.150
 18/01/11 23    39.411    42.554    61.738
 19/01/11 00    39.320    42.660    61.203
 19/01/11 01    39.326    42.716    61.094
 19/01/11 02    39.602    42.881    61.162
 19/01/11 03    39.451    42.874    61.354
 19/01/11 04    39.427    43.239    61.038
 19/01/11 05    39.477    43.160    60.994
 19/01/11 06    39.561    42.867    61.279
 19/01/11 07    39.547    42.877    61.411
 19/01/11 08    39.584    42.901    60.947
 19/01/11 09    39.617    42.525    60.830
 19/01/11 10    39.809    42.949    61.305
 19/01/11 11    39.980    43.214    61.703
